constraint,objective,predict_method,accuracy_overall_distorted,accuracy_diff_distorted,accuracy_overall_original,accuracy_diff_original,recall_overall_distorted,recall_diff_distorted,recall_overall_original,recall_diff_original,false_positive_rate_overall_distorted,false_positive_rate_diff_distorted,false_positive_rate_overall_original,false_positive_rate_diff_original,false_negative_rate_overall_distorted,false_negative_rate_diff_distorted,false_negative_rate_overall_original,false_negative_rate_diff_original,selection_rate_overall_distorted,selection_rate_diff_distorted,selection_rate_overall_original,selection_rate_diff_original
equalized_odds,balanced_accuracy_score,predict_proba,0.6159120463411751,0.06492869509024435,0.6602435276037356,0.02372378717925927,0.3995082974800246,0.022386044999110344,0.558252427184466,0.4117929511187939,0.3325526932084309,0.00810883184523481,0.33453460917111966,0.002751094346709282,0.6004917025199754,0.022386044999110344,0.441747572815534,0.4117929511187938,0.3454309019978721,0.014104402395482718,0.3454309019978721,0.014104402395482718
equal_opportunity,balanced_accuracy_score,predict_proba,0.6345903771131339,0.2729955329267072,0.6124837451235371,0.3172035707517663,0.6152427781192379,0.005157042845485127,0.7281553398058253,0.2511283971958129,0.36080210772833726,0.33901620945815686,0.3934385485274015,0.34438760444632793,0.3847572218807621,0.005157042845485071,0.27184466019417475,0.2511283971958129,0.40974110414942666,0.3351673433519652,0.40974110414942666,0.3351673433519652
demographic_parity,balanced_accuracy_score,predict_proba,0.648303581983686,0.1112775292964765,0.7037474878827285,0.00040282480475073434,0.41180086047940995,0.3276271467226241,0.720873786407767,0.0661192739844425,0.2953747072599532,1.3234731641553754e-05,0.29712936498073816,0.003495546629733337,0.58819913952059,0.32762714672262405,0.279126213592233,0.06611927398444253,0.3177680576900343,0.0008706069260598914,0.3177680576900343,0.0008706069260598914
